idEla,lat,lng,comuna,fecha
730,-33.5011922,-70.7624707,Maipú,2016-06-21 15:30:00
732,-33.4671863,-70.6639194,Recoleta,2016-06-28 18:00:00
733,\N,\N,El Bosque,2016-06-20 18:30:00
737,\N,\N,La Florida,2016-06-27 20:18:00
745,-32.936214,-71.5324384,Concón,2016-06-21 10:00:00
746,-37.7970714,-73.3957353,Cañete,2016-06-17 18:30:00
748,\N,\N,Valparaíso,2016-06-14 15:00:00
749,\N,\N,Castro,2016-06-25 16:29:00
750,-32.7543846,-70.7257135,San Felipe,2016-06-18 09:00:00
752,\N,\N,Peñalolén,2016-06-08 09:00:00
756,-33.4802691,-70.7183695,Cerrillos,2016-05-28 10:00:00
760,\N,\N,Copiapó,2016-05-28 19:00:00
762,\N,\N,Iquique,2016-05-24 08:30:00
764,\N,\N,Iquique,2016-06-15 19:30:00
765,\N,\N,Paillaco,2016-06-28 10:00:00
767,\N,\N,Salamanca,2016-05-25 12:52:00
769,\N,\N,Extranjero,2016-05-28 15:00:00
772,\N,\N,Quillota,2016-06-28 02:46:00
773,\N,\N,Casablanca,2016-05-20 15:30:00
774,\N,\N,Quellón,2016-06-19 16:00:00
775,\N,\N,Maipú,2016-06-27 16:00:00
778,\N,\N,Viña del Mar,2016-06-03 18:30:00
779,\N,\N,Punta Arenas,2016-06-17 18:30:00
786,\N,\N,Santiago,2016-06-23 19:00:00
787,\N,\N,Chillán,2016-05-14 12:00:00
788,-33.4603394,-70.5708868,Providencia,2016-05-28 16:00:00
789,-29.9044405,-71.2502582,La Serena,2016-06-16 18:00:00
790,-33.2272595,-70.8074662,Lampa,2016-06-18 18:00:00
797,\N,\N,Temuco,2016-05-26 11:00:00
799,\N,\N,Coyhaique,2016-06-19 17:00:00
801,\N,\N,Angol,2016-06-04 18:50:00
802,\N,\N,Vitacura,2016-06-11 16:15:00
804,-33.3904024,-70.5929168,Las Condes,2016-06-20 19:00:00
805,-33.6167998,-70.5785643,Puente Alto,2016-06-11 21:00:00
807,-33.403317,-70.5968546,Vitacura,2016-06-28 08:00:00
808,\N,\N,Santiago,2016-06-11 15:00:00
810,\N,\N,Peñalolén,2016-06-04 09:00:00
811,\N,\N,Pichilemu,2016-06-27 18:00:00
813,\N,\N,Curicó,2016-06-13 14:30:00
820,\N,\N,Curicó,2016-05-25 19:00:00
821,-33.4527189,-70.5642132,La Reina,2016-05-28 10:30:00
822,\N,\N,Cabo de Hornos,2016-06-17 15:09:00
823,\N,\N,Puerto Montt,2016-06-28 20:00:00
824,\N,\N,Arica,2016-06-20 16:00:00
827,\N,\N,Punta Arenas,2016-06-18 15:00:00
828,\N,\N,Mostazal,2016-06-21 18:00:00
831,-39.8227429,-73.233248,Valdivia,2016-06-17 17:30:00
833,-20.2143745,-70.1503229,Iquique,2016-06-12 16:00:00
835,\N,\N,Chillán,2016-06-18 16:00:00
837,-33.3963223,-70.5886078,Vitacura,2016-06-05 17:30:00
839,-33.4625846,-70.7039436,Santiago,2016-06-26 17:00:00
841,\N,\N,Aysén,2016-06-21 15:00:00
842,-33.434998,-70.6139548,Providencia,2016-05-14 17:30:00
851,-41.4719689,-72.9374852,Puerto Montt,2016-06-21 18:00:00
854,-33.4426201,-70.6364874,Santiago,2016-06-18 14:30:00
855,-33.449928,-70.5726229,Ñuñoa,2016-06-04 15:00:00
859,\N,\N,Providencia,2016-05-14 16:00:00
864,-33.5245476,-70.5947582,La Florida,2016-06-11 10:00:00
866,-30.032842,-70.7080867,Vicuña,2016-06-08 09:45:00
867,\N,\N,Coihueco,2016-04-30 16:00:00
868,\N,\N,Quillota,2016-06-18 10:00:00
871,\N,\N,Quillota,2016-06-25 13:29:00
873,\N,\N,Los Andes,2016-06-07 10:00:00
