idEla,lat,lng,comuna,fecha,link,participantes
12083,\N,\N,"Ñuñoa","2016-06-11 15:00:00",2512,"F:16,F:16,F:27,F:28,F:29,F:30,F:30,F:30,F:31,F:32,F:35,M:26,M:29,M:30,M:32"
12087,\N,\N,"Coyhaique","2016-06-07 16:00:00",5028,"F:28,F:36,F:49,M:24,M:28,M:51,M:64,M:69,M:74,M:74,M:76"
12088,\N,\N,"Curicó","2016-06-20 16:00:00",12708,"F:18,F:43,F:47,F:61,M:15,M:18,M:18,M:26,M:47,M:53"
12089,\N,\N,"Villarrica","2016-06-28 20:00:00",15081,"F:24,F:25,F:26,F:29,F:30,F:33,F:34,M:28,M:29,M:32,M:33,M:34,M:36"
12091,\N,\N,"Talca","2016-06-20 17:00:00",12819,"F:22,F:24,F:25,F:25,F:26,F:26,F:26,F:26,F:26,F:27,F:27,F:28,F:28,F:28,F:29,F:30,F:30,F:31,F:34,F:37,F:39,F:39,F:45,F:51,F:55,M:24,M:26,M:28,M:35,M:48"
12093,-35.8444408,-71.601525,"Linares","2016-06-03 17:00:00",3845,"F:34,F:37,F:48,F:49,F:51,F:54,F:57,F:71,M:29,M:42,M:43,M:51,M:56,M:62,M:65,M:73,M:73"
12094,\N,\N,"San Pedro de La Paz","2016-06-21 19:00:00",9591,"F:43,F:53,F:56,F:57,F:59,M:39,M:45,M:46,M:58,M:61"
12097,\N,\N,"Los Ángeles","2016-05-25 16:00:00",2986,"F:38,F:60,F:69,F:70,F:73,F:74,F:75,F:75,F:85,F:87,M:75"
12098,\N,\N,"O'higgins","2016-06-17 18:00:00",7789,"F:25,F:27,F:29,F:30,F:32,F:40,F:42,F:43,M:30,M:48,M:52"
12100,\N,\N,"Santiago","2016-06-24 15:00:00",9769,"F:15,F:25,F:34,F:34,F:43,F:44,F:47,F:62,M:35,M:39,M:55,M:57,M:58,M:63,M:64,M:65"
12102,-33.4448483,-70.603074,"Providencia","2016-06-18 19:00:00",10742,"F:31,F:33,F:35,F:36,F:37,M:29,M:32,M:34,M:38,M:39,M:40"
12103,\N,\N,"Valparaíso","2016-06-20 10:00:00",12239,"F:26,F:31,F:41,F:48,F:80,M:17,M:23,M:51,M:54,M:64"
12104,\N,\N,"Linares","2016-06-26 15:00:00",14481,"F:14,F:19,F:21,F:42,F:52,F:68,M:20,M:20,M:28,M:50,M:51,M:55,M:72"
12105,\N,\N,"Puente Alto","2016-06-21 17:30:00",12097,"F:37,F:54,M:28,M:29,M:29,M:30,M:36,M:36,M:39,M:41,M:51,M:62,M:62"
12106,\N,\N,"San Antonio","2016-06-28 10:00:00",15330,"F:21,F:24,F:28,F:29,F:34,F:35,F:35,F:35,F:37,F:43"
12108,-33.5807293,-70.6575007,"La Pintana","2016-06-28 21:00:00",15604,"F:18,F:22,F:41,F:43,F:44,F:54,F:57,F:59,M:22,M:53,M:61,M:69,M:71,M:74"
12109,\N,\N,"La Calera","2016-05-03 19:58:00",378,"M:34,M:40,M:42,M:43,M:45,M:50,M:52,M:59,M:65,M:66,M:69,M:69,M:70,M:71,M:79"
12112,-33.4459586,-70.6267967,"Providencia","2016-06-18 15:00:00",3416,"F:34,F:37,F:38,F:45,F:49,F:56,F:63,M:34,M:48,M:53"
12113,-33.4424779,-70.5907856,"Providencia","2016-06-05 16:00:00",5185,"F:29,F:29,F:31,F:31,F:31,F:34,M:29,M:31,M:32,M:32,M:38"
12115,\N,\N,"Punta Arenas","2016-06-11 15:00:00",8239,"F:25,M:25,M:42,M:51,M:52,M:56,M:59,M:63,M:67,M:71"
12116,\N,\N,"Macul","2016-06-28 16:30:00",9487,"F:20,F:28,F:29,F:32,F:32,F:35,F:37,F:39,F:41,F:47,F:50,F:56,F:59,F:66"
12117,\N,\N,"Providencia","2016-06-19 09:00:00",11228,"F:34,F:44,F:44,F:63,M:32,M:37,M:38,M:42,M:54,M:56"
12118,\N,\N,"Santiago","2016-06-18 16:30:00",10931,"F:29,F:33,F:40,F:46,F:46,F:50,M:34,M:36,M:42,M:45"
12119,-33.5912189,-70.5798814,"Puente Alto","2016-06-28 09:50:00",15434,"F:14,F:14,F:15,F:15,F:15,F:15,F:15,F:16,F:16,F:16,F:16,F:17,F:17,F:17,F:17,F:17,F:17,F:17,F:36,F:47"
12120,-33.4285975,-70.6094779,"Providencia","2016-06-04 11:00:00",5286,"F:17,F:30,F:30,F:30,F:31,M:25,M:27,M:31,M:32,M:35,M:36,M:38,M:44"
12124,\N,\N,"San Miguel","2016-06-16 19:00:00",10498,"F:27,F:36,F:61,F:61,F:63,M:26,M:54,M:62,M:63,M:63"
12126,\N,\N,"Quilpué","2016-06-19 15:00:00",11841,"F:22,F:23,F:27,F:27,F:28,F:41,F:48,M:19,M:23,M:23,M:24"
12129,\N,\N,"La Reina","2016-06-18 19:30:00",10915,"F:27,F:35,F:39,F:41,F:59,F:64,M:26,M:35,M:39,M:49,M:65"
12130,\N,\N,"Ñuñoa","2016-06-04 11:00:00",5669,"F:30,F:34,F:35,F:37,F:40,F:43,F:64,M:36,M:36,M:36,M:37"
12131,\N,\N,"Diego de Almagro","2016-06-09 08:00:00",7120,"F:16,F:16,F:16,F:16,F:16,F:17,F:17,F:18,F:30,M:15,M:15,M:15,M:15,M:15,M:15,M:16,M:16,M:16,M:17"
12133,\N,\N,"Codegua","2016-05-29 13:00:00",4199,"F:20,F:20,F:21,F:26,F:31,F:52,F:53,F:60,F:64,F:64,F:84,M:15,M:23,M:25,M:39,M:43,M:63"
12135,\N,\N,"Collipulli","2016-06-17 16:00:00",9926,"F:15,F:17,F:18,F:18,F:24,F:27,M:14,M:15,M:15,M:15,M:15,M:16,M:17,M:17,M:17,M:19,M:23,M:32"
12136,\N,\N,"Valparaíso","2016-06-21 19:00:00",12260,"F:25,F:25,F:29,F:33,F:41,F:46,F:47,F:55,F:63,F:64,F:71,F:72,M:26,M:47"
12141,\N,\N,"Puente Alto","2016-06-21 15:30:00",11135,"F:23,F:37,M:21,M:36,M:37,M:50,M:51,M:52,M:62,M:66"
12142,\N,\N,"Estación Central","2016-05-28 16:00:00",3934,"F:22,F:25,F:65,F:69,F:73,F:76,M:26,M:34,M:69,M:77,M:79,M:81"
12143,\N,\N,"Canela","2016-06-16 15:00:00",9839,"F:15,F:16,F:16,F:16,F:16,F:16,F:17,F:17,F:17,M:16,M:17,M:17,M:17"
12149,-33.4119579,-70.5903619,"Vitacura","2016-05-25 19:00:00",2060,"F:59,F:60,F:60,F:61,F:64,F:65,F:66,F:66,F:67,F:68,F:68,F:68,M:71"
12150,\N,\N,"Extranjero","2016-06-01 19:00:00",1484,"F:29,F:34,F:52,F:52,F:61,F:66,M:23,M:33,M:47,M:48,M:50,M:52,M:57"
12151,-36.5948115,-72.0911855,"Chillán","2016-06-16 16:00:00",3278,"F:15,F:15,F:17,F:17,M:15,M:17,M:17,M:17,M:18,M:58"
12155,\N,\N,"Camiña","2016-06-12 12:00:00",8408,"F:23,F:35,F:37,F:46,F:51,F:52,F:54,F:61,F:65,M:73"
12156,-33.4446041,-70.7272926,"Lo Prado","2016-06-08 19:30:00",7171,"F:32,F:34,F:37,F:39,F:48,F:49,F:49,F:50,F:77,M:14,M:17,M:31,M:55"
12157,\N,\N,"Quinta Normal","2016-06-11 19:00:00",6555,"F:31,F:35,F:41,M:28,M:29,M:37,M:37,M:39,M:45,M:45"
12165,\N,\N,"San Fernando","2016-06-21 08:15:00",11864,"F:17,F:17,F:17,F:17,F:18,F:18,F:18,M:17,M:18,M:19"
12166,-33.449928,-70.5726229,"Ñuñoa","2016-06-11 15:00:00",7548,"F:56,F:62,F:62,F:64,F:68,F:73,F:74,M:55,M:65,M:67,M:68,M:71,M:74,M:77,M:80,M:85"
12170,\N,\N,"Villa Alemana","2016-06-28 16:00:00",15557,"F:15,F:24,F:40,F:49,M:18,M:23,M:24,M:25,M:25,M:48"
12177,-33.5263163,-70.6619554,"La Cisterna","2016-06-07 15:00:00",6660,"F:22,F:23,F:24,F:27,F:27,F:27,F:29,F:29,F:47,M:38"
12180,\N,\N,"Cabo de Hornos","2016-06-18 10:00:00",8733,"F:15,F:15,F:16,F:16,M:14,M:15,M:15,M:15,M:15,M:16"
12182,\N,\N,"La Pintana","2016-06-20 19:30:00",11631,"F:14,F:36,F:39,F:39,F:39,F:49,F:62,F:67,M:41,M:65"
12183,\N,\N,"Viña del Mar","2016-06-22 10:00:00",13051,"F:15,F:16,F:16,F:16,F:17,F:17,M:16,M:17,M:17,M:17,M:18,M:18"
12184,\N,\N,"Arica","2016-06-27 17:00:00",15333,"F:18,F:21,F:23,F:28,F:40,F:47,M:20,M:22,M:28,M:47,M:56,M:57"
12185,\N,\N,"El Bosque","2016-05-29 10:00:00",1533,"F:23,F:29,F:30,F:30,F:32,F:42,F:45,F:53,F:55,M:19,M:31"
12190,-34.9839462,-71.2525166,"Romeral","2016-06-28 09:00:00",14920,"F:15,F:16,F:16,F:16,F:17,F:17,F:28,F:45,M:16,M:16,M:16,M:16,M:17,M:17,M:17,M:17,M:17,M:18,M:18,M:18,M:18,M:18,M:19,M:19"
12194,\N,\N,"Andacollo","2016-04-28 15:00:00",225,"F:24,F:25,F:28,F:34,F:37,F:45,F:47,F:47,F:55,F:55,F:55,F:56,F:59,F:61,M:18,M:40"
12196,\N,\N,"Antofagasta","2016-06-26 20:00:00",14909,"F:23,F:24,F:26,F:39,F:44,F:48,F:48,F:55,F:63,M:35,M:36,M:37"
12198,-53.1640446,-70.8996072,"Punta Arenas","2016-06-18 14:30:00",9854,"M:42,M:53,M:56,M:62,M:68,M:69,M:69,M:70,M:76,M:78"
12204,-35.8505293,-71.5942321,"Linares","2016-05-21 10:00:00",2098,"F:20,F:20,F:21,M:20,M:20,M:20,M:21,M:22,M:22,M:24"
12205,-33.4429091,-70.6538699,"Tiltil","2016-06-21 14:30:00",12875,"F:18,F:19,F:19,F:19,F:20,F:22,F:22,F:23,F:36,M:18,M:18,M:18,M:19,M:19,M:20,M:20,M:20,M:21,M:22,M:22,M:22,M:23"
12208,-33.4577758,-70.6639438,"Las Condes","2016-06-03 17:00:00",4958,"F:33,F:38,F:39,F:52,F:65,F:66,M:26,M:34,M:36,M:39,M:42,M:43,M:50,M:59,M:64"
12209,\N,\N,"Macul","2016-05-14 16:00:00",630,"F:23,F:28,F:29,F:33,F:52,F:53,F:61,F:63,M:24,M:25,M:27,M:29,M:33,M:36,M:61,M:84"
12212,-33.4375031,-70.5821049,"Ñuñoa","2016-06-11 18:00:00",7711,"F:28,F:37,F:42,F:42,F:48,F:49,F:61,F:61,F:63,F:67,M:28,M:35,M:42,M:46,M:58,M:66,M:68"
12213,\N,\N,"Quilpué","2016-06-12 14:00:00",7518,"F:53,F:68,F:69,F:74,F:79,F:81,F:83,M:73,M:74,M:85"
12219,\N,\N,"Las Condes","2016-06-04 12:16:00",2862,"F:28,F:28,F:30,F:31,F:32,F:34,F:38,F:40,M:28,M:33,M:33,M:35,M:35,M:38,M:38,M:44"
